Ticker,Quantidade,Setor,Data de atualização,Valor Atual,PAYOUT,LPA,VPA,P/L,P/VP,P/SR,ROE,ROA,EBITDA,Margem bruta,Margem líquida,Margem EBITDA,Margem operacional,P/CF,Liquidez corrente,Liquidez imediata,Liquidez seca,Giro do ativo,Endividamento geral,Ativo por ação,Dívida bruta,Dívida líquida,Capital de giro,Receita líquida por ação,EBIT por ação,Margem EBIT
CESP6,,,2025-04-25 17:50:31,,0,,,,,,13.58,0.07,2.392,30.27,73.33,162.75,112.53,,3.12,2.62,3.12,0.1,82.56,,4.019,2.164,1.502,,,133.96
CGAS5,,,2025-04-25 17:50:40,129.99000549316406,167.51%,13.53,8.56,9.41,14.87,,158.08,0.12,,21.51,11.61,,17.06,,1.44,0.6,1.4,0.99,,117.65,9.789,7.6,1.602,116.53,23.19,19.9
CGRA4,,,2025-04-25 17:50:52,26.649999618530273,53.54%,5.02,45.69,5.36,0.59,,10.98,0.08,109.0,52.84,14.36,15.01,16.69,,2.47,0.81,1.91,0.54,42.02,64.88,,,374.0,34.93,3.9,11.16
CIEL3,,,2025-04-25 17:51:06,,0,,,,,,14.79,0.02,2.896,42.81,17.19,28.13,22.46,,1.06,0.01,1.06,0.09,841.15,,7.604,6.243,5.992,,,19.49
CMIG3,,,2025-04-25 17:51:17,15.15999984741211,51.78%,2.49,9.57,5.99,1.56,,26.0,0.12,11.253,20.48,17.88,28.26,23.5,,0.86,0.13,0.86,0.67,118.12,20.87,12.279,10.023,1.914,13.91,3.45,24.81
CMIG4,,,2025-04-25 17:51:31,10.930000305175781,60.95%,2.49,9.57,4.28,1.11,,26.0,0.12,11.253,20.48,17.88,28.26,23.5,,0.86,0.13,0.86,0.67,118.12,20.87,12.279,10.023,1.914,13.91,3.45,24.81
COCE5,,,2025-04-25 17:51:41,25.700000762939453,26.81%,5.97,66.02,4.3,0.39,,9.05,0.03,1.879,19.01,5.51,22.26,5.87,,0.54,0.04,0.54,0.59,180.31,185.05,5.447,5.232,2.593,108.43,15.84,14.61
CPFE3,,,2025-04-25 17:51:52,39.040000915527344,58.10%,4.74,17.99,8.22,2.16,,26.44,0.07,13.133,31.83,13.52,30.81,18.98,,0.95,0.11,0.94,0.55,253.88,66.94,28.788,25.241,819.0,37.0,9.4,25.41
CPLE3,,,2025-04-25 17:52:03,10.25,26.30%,0.94,8.61,11.2,1.23,,10.92,0.05,5.529,21.59,12.36,24.41,12.83,,1.26,0.4,1.25,0.39,123.83,19.24,17.246,13.083,2.699,7.59,1.36,17.94
CPLE6,,,2025-04-25 17:52:14,11.279999732971191,28.93%,0.94,8.61,12.35,1.35,,10.92,0.05,5.529,21.59,12.36,24.41,12.83,,1.26,0.4,1.25,0.39,123.83,19.24,17.246,13.083,2.699,7.59,1.36,17.94
CRDE3,,,2025-04-25 17:52:33,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CSAN3,,,2025-04-25 17:52:43,7.710000038146973,37.83%,5.05,5.84,1.55,1.34,,20.72,0.06,7.373,31.2,18.57,16.78,11.93,,1.72,0.94,1.6,0.31,258.56,75.68,72.965,56.061,12.861,23.55,1.88,7.97
CSMG3,,,2025-04-25 17:52:55,21.239999771118164,67.82%,3.46,21.17,6.05,0.99,,16.36,0.08,2.795,42.82,16.72,35.49,21.24,,1.44,0.38,1.38,0.51,92.74,40.79,6.113,5.293,733.0,20.72,5.25,25.32
CSNA3,,,2025-04-25 17:53:06,9.390000343322754,"9,532.45%",1.95,9.25,4.79,1.01,,9.95,0.01,8.061,26.77,3.52,18.45,3.53,,1.58,0.93,1.17,0.42,572.14,78.36,56.914,32.693,14.669,32.94,3.22,9.77
LIQO3,,,2025-04-25 17:53:21,,0,,,,,,,,,,,,,,,,,,,,,,,,,
CTNM4,,,2025-04-25 17:53:33,,0.00%,15.47,7.84,0.06,0.11,,186.32,0.26,294.0,2.07,70.52,24.44,68.77,,0.49,0.08,0.3,0.36,624.99,107.68,1.305,1.095,1.014,39.24,13.05,33.25
CYRE3,,,2025-04-25 17:53:46,25.530000686645508,13.27%,5.71,23.16,4.72,1.16,,19.31,0.09,,32.39,24.12,,26.44,,3.27,0.14,1.99,0.38,113.49,55.31,5.974,2.921,8.412,20.74,5.19,25.02
DASA3,,,2025-04-25 17:53:56,1.7799999713897705,0.00%,0.96,6.32,1.88,0.28,,15.07,0.05,2.46,27.37,7.81,16.06,6.97,,1.55,0.33,1.46,0.58,233.41,21.08,10.397,8.501,2.904,12.21,0.87,7.14
DIRR3,,,2025-04-25 17:54:09,35.869998931884766,91.23%,3.68,11.62,9.93,3.14,,32.72,0.07,825.0,36.39,21.73,24.64,23.66,,3.03,0.53,1.94,0.33,352.72,58.03,1.633,18.0,3.063,19.3,4.35,22.55
DTEX3,,,2025-04-25 17:54:24,,0,,,,,,,,,,,,,,,,,,,,,,,,,
ECOR3,,,2025-04-25 17:54:41,6.900000095367432,14.96%,1.3,4.92,5.35,1.41,,24.75,0.03,4.507,39.59,9.25,45.65,17.42,,0.67,0.33,0.67,0.34,693.81,42.07,20.034,16.166,2.329,14.18,5.06,35.68
EEEL3,,,2025-04-25 17:55:00,,0,,,,,,18.29,0.07,998.0,54.78,25.07,48.34,33.8,,1.32,0.16,1.26,0.26,176.09,,3.363,3.043,363.0,,,48.1
ELEK4,,,2025-04-25 17:55:18,,0,,,,,,,,,,,,,,,,,,,,,,,,,
ELET3,,,2025-04-25 17:55:31,43.43000030517578,28.15%,4.5,52.82,9.77,0.83,,8.51,0.04,26.236,44.89,25.83,65.3,26.43,,2.04,0.86,2.02,0.14,137.6,125.64,75.803,39.77,32.82,17.42,9.64,55.37
ELET6,,,2025-04-25 17:55:44,47.189998626708984,81.03%,4.5,52.82,10.54,0.9,,8.51,0.04,26.236,44.89,25.83,65.3,26.43,,2.04,0.86,2.02,0.14,137.6,125.64,75.803,39.77,32.82,17.42,9.64,55.37
EMBR3,,,2025-04-25 17:55:55,63.52000045776367,0.00%,2.59,25.72,24.39,2.46,,9.29,0.03,,18.02,5.43,,8.78,,1.47,0.35,0.81,0.48,253.53,98.88,15.425,1.785,12.979,47.84,5.09,10.65
ENBR3,,,2025-04-25 17:56:12,,0,,,,,,19.49,0.06,5.082,27.35,14.15,29.13,17.65,,1.48,0.33,1.45,0.45,204.73,,13.133,8.913,6.131,,,24.78
ENGI4,,,2025-04-25 17:56:25,8.130000114440918,12.06%,1.66,7.55,4.93,1.08,,20.94,0.06,7.968,25.4,13.75,23.64,12.98,,1.23,0.06,1.22,0.44,248.56,33.71,35.117,26.556,3.362,14.73,2.67,18.12
EQTL3,,,2025-04-25 17:56:36,35.95000076293945,19.84%,2.24,20.83,15.81,1.7,,12.61,0.03,,28.78,8.31,,8.59,,1.46,0.17,1.45,0.39,289.5,92.84,55.827,42.789,8.922,36.18,6.89,19.04
YDUQ3,,,2025-04-25 17:56:49,14.15999984741211,0.00%,1.25,11.4,11.86,1.3,,10.87,0.03,1.742,61.01,6.38,32.55,5.65,,1.75,0.47,1.75,0.54,216.62,36.26,5.605,4.559,1.08,19.53,3.35,17.14
ETER3,,,2025-04-25 17:56:58,4.679999828338623,40.07%,0.63,13.05,7.44,0.36,,4.82,0.03,88.0,21.33,3.34,7.58,1.52,,1.86,0.06,1.18,0.89,62.08,21.15,126.0,110.0,248.0,18.81,0.6,3.17
EUCA4,,,2025-04-25 17:57:10,12.5,34.22%,2.14,27.76,5.98,0.46,,7.7,0.04,490.0,32.97,6.93,17.17,7.95,,1.71,0.26,1.06,0.63,77.74,49.33,805.0,559.0,689.0,30.86,4.03,13.06
EVEN3,,,2025-04-25 17:57:19,5.809999942779541,230.08%,0.21,9.0,28.74,0.67,,6.36,0.03,109.0,26.78,6.1,5.06,7.47,,4.32,0.02,1.78,0.42,150.31,25.89,1.176,412.0,3.274,10.79,0.53,4.87
EZTC3,,,2025-04-25 17:57:31,14.109999656677246,58.40%,1.83,21.74,8.16,0.69,,8.78,0.07,359.0,34.14,27.47,23.02,29.89,,6.84,0.19,3.24,0.24,32.43,29.26,1.136,365.0,2.233,7.06,1.51,21.43
FESA4,,,2025-04-25 17:57:44,7.260000228881836,81.71%,0.93,9.46,7.9,0.78,,9.81,0.07,366.0,21.07,14.65,16.4,14.3,,2.68,0.71,1.82,0.51,31.34,12.42,420.0,427.0,1.093,6.33,0.49,7.69
FHER3,,,2025-04-25 17:57:57,3.6500000953674316,0.00%,21.44,21.3,0.17,0.17,,100.66,0.37,191.0,2.86,25.06,4.14,22.19,,0.79,0.03,0.27,1.48,371.6,57.85,,,586.0,85.57,4.69,5.49
TASA4,,,2025-04-25 17:58:07,8.920000076293945,50.04%,0.6,10.22,14.55,0.86,,5.92,0.03,252.0,34.82,4.58,15.1,4.72,,1.53,0.11,0.76,0.64,103.08,20.76,747.0,457.0,534.0,13.21,1.65,12.49
FLRY3,,,2025-04-25 17:58:17,12.979999542236328,61.84%,1.13,9.67,11.54,1.34,,11.23,0.05,1.977,27.89,7.86,25.74,10.23,,2.51,0.01,2.42,0.59,143.03,23.87,5.391,3.049,2.632,14.04,2.19,15.59
FRIO3,,,2025-04-25 17:58:27,289.989990234375,0.00%,2.56,54.63,114.44,5.36,,5.2,0.01,225.0,17.03,1.03,10.32,0.16,,1.21,0.15,0.89,1.11,355.84,315.0,855.0,618.0,242.0,348.23,24.82,7.13
TIET3,,,2025-04-25 17:58:44,,0,,,,,,37.9,0.11,1.886,70.03,49.91,81.59,39.24,,1.0,0.03,1.0,0.21,258.62,,5.932,5.202,4.0,,,61.76
TIET4,,,2025-04-25 17:58:59,,0,,,,,,37.9,0.11,1.886,70.03,49.91,81.59,39.24,,1.0,0.03,1.0,0.21,258.62,,5.932,5.202,4.0,,,61.76
GFSA3,,,2025-04-25 17:59:12,1.559999942779541,0.00%,0.3,14.5,5.54,0.12,,2.09,0.01,46.0,5.37,4.02,4.5,0.47,,1.5,0.0,0.82,0.19,171.64,39.4,1.883,1.636,1.072,7.52,0.44,5.88
GGBR3,,,2025-04-25 17:59:25,14.989999771118164,35.93%,2.22,28.23,6.65,0.52,,7.91,0.05,10.613,13.73,6.86,15.83,8.15,,3.01,0.72,1.49,0.77,49.23,42.29,13.636,5.359,21.818,32.65,3.65,11.17
GGBR4,,,2025-04-25 17:59:34,15.329999923706055,35.93%,2.22,28.23,6.91,0.54,,7.91,0.05,10.613,13.73,6.86,15.83,8.15,,3.01,0.72,1.49,0.77,49.23,42.29,13.636,5.359,21.818,32.65,3.65,11.17
GOAU3,,,2025-04-25 17:59:45,8.670000076293945,30.00%,1.55,20.04,5.68,0.44,,7.91,0.05,10.6,13.73,6.88,15.82,8.17,,3.01,0.72,1.49,0.77,49.26,86.97,13.636,5.265,21.897,67.05,7.48,11.15
GOAU4,,,2025-04-25 17:59:55,8.59000015258789,30.00%,1.55,20.04,5.58,0.43,,7.91,0.05,10.6,13.73,6.88,15.82,8.17,,3.01,0.72,1.49,0.77,49.26,86.97,13.636,5.265,21.897,67.05,7.48,11.15
GOLL4,,,2025-04-25 18:00:04,1.3300000429153442,0.00%,,,,,,20.86,0.25,1.694,30.03,31.72,8.86,38.96,,0.27,0.08,0.26,0.8,182.45,,22.624,20.289,19.192,,,1.03
GRND3,,,2025-04-25 18:00:14,5.360000133514404,50.24%,0.81,4.48,6.6,1.2,,18.19,0.16,641.0,47.21,27.97,24.42,30.92,,7.1,0.18,5.92,0.58,11.36,4.99,88.0,1.075,2.613,2.91,0.62,21.21
GSHP3,,,2025-04-25 18:00:26,6.0,0.00%,422.69,795.28,0.01,0.01,,53.15,0.67,98.0,67.4,451.69,54.1,446.46,,1.13,0.75,1.13,0.15,179.52,632.4,2.403,2.258,24.0,93.58,51.73,55.28
HBOR3,,,2025-04-25 18:00:39,2.140000104904175,21.37%,0.42,10.85,5.09,0.2,,6.01,0.02,270.0,33.55,12.83,21.31,15.13,,1.52,0.12,0.84,0.19,147.03,50.04,1.991,1.51,1.005,9.49,1.79,18.89
HGTX3,,,2025-04-25 18:00:57,,0,,,,,,8.28,0.06,96.0,40.58,9.67,6.56,0.7,,2.47,0.27,1.46,0.59,44.16,,202.0,51.0,812.0,,,0.59
PRIO3,,,2025-04-25 18:01:09,34.880001068115234,0.00%,11.49,28.92,3.0,1.19,,39.74,0.18,9.439,50.66,71.73,65.73,44.3,,2.16,1.08,1.83,0.26,115.04,62.19,22.433,18.44,4.264,16.02,7.75,48.36
HYPE3,,,2025-04-25 18:01:19,24.030000686645508,50.84%,2.12,19.1,11.15,1.24,,11.0,0.05,2.101,58.86,17.88,28.23,13.16,,1.7,0.44,1.2,0.3,102.94,38.77,9.38,7.64,2.741,11.75,2.87,24.45
IDNT3,,,2025-04-25 18:01:33,,0,,,,,,,,,,,,,,,,,,,,,,,,,
IDVL4,,,2025-04-25 18:01:46,,0,,,,,,,,,,,,,,,,,,,,,,,,,
IGTA3,,,2025-04-25 18:02:02,,0,,,,,,,,,,,,,,,,,,,,,,,,,
MEAL3,,,2025-04-25 18:02:12,1.309999942779541,0.00%,0.27,3.63,4.96,0.36,,7.33,0.03,174.0,32.81,3.43,7.82,3.96,,0.78,0.35,0.68,0.8,168.59,9.76,579.0,361.0,139.0,7.76,0.11,1.36
INEP3,,,2025-04-25 18:02:23,1.840000033378601,0.00%,5.25,32.69,0.35,0.06,,16.35,0.25,83.0,48.0,,,,,0.08,0.0,0.07,0.0,164.4,21.05,927.0,927.0,1.159,0.1,2.0,
INEP4,,,2025-04-25 18:02:33,1.440000057220459,0.00%,5.25,32.69,0.29,0.05,,16.35,0.25,83.0,48.0,,,,,0.08,0.0,0.07,0.0,164.4,21.05,927.0,927.0,1.159,0.1,2.0,
ITSA3,,,2025-04-25 18:02:43,10.569999694824219,25.72%,1.36,8.34,7.76,1.27,,15.67,0.13,17.619,29.78,180.78,213.95,182.45,,2.17,0.84,1.88,0.07,20.66,10.57,11.112,4.15,6.743,0.76,1.51,199.0
ITSA4,,,2025-04-25 18:02:56,10.569999694824219,25.73%,1.36,8.34,7.75,1.27,,15.67,0.13,17.619,29.78,180.78,213.95,182.45,,2.17,0.84,1.88,0.07,20.66,10.57,11.112,4.15,6.743,0.76,1.51,199.0
ITUB3,,,2025-04-25 18:03:07,30.260000228881836,63.75%,3.46,18.74,8.78,1.62,,18.46,0.08,,31.43,181.19,,163.26,,1.43,,,0.04,,42.44,,,51.163,1.91,,
ITUB4,,,2025-04-25 18:03:21,34.619998931884766,63.75%,3.46,18.74,10.04,1.85,,18.46,0.08,,31.43,181.19,,163.26,,1.43,,,0.04,,42.44,,,51.163,1.91,,
JBSS3,,,2025-04-25 18:03:33,47.869998931884766,65.17%,4.34,20.19,10.78,2.31,,21.25,0.04,35.589,15.06,2.57,8.54,3.55,,1.47,0.48,1.04,1.66,400.17,113.58,119.677,84.07,33.834,187.98,10.72,5.7
JFEN3,,,2025-04-25 18:03:46,2.240000009536743,0.00%,18.1,0.12,0.12,17.93,,235.21,0.26,153.0,24.3,134.38,91.42,138.94,,1.83,0.02,0.49,0.19,999.18,69.64,264.0,256.0,355.0,13.56,13.79,101.76
JHSF3,,,2025-04-25 18:03:59,5.059999942779541,29.46%,1.25,7.95,4.06,0.64,,14.76,0.06,1.297,57.11,53.58,80.69,61.91,,1.75,0.47,1.08,0.12,127.77,19.51,4.49,2.962,1.798,2.36,1.8,76.11
JSLG3,,,2025-04-25 18:04:12,6.809999942779541,57.71%,0.72,6.18,9.56,1.12,,11.71,0.02,1.819,17.16,2.29,20.09,2.96,,1.54,0.15,1.5,0.73,604.95,43.57,8.106,6.081,1.61,31.62,4.23,13.37
KEPL3,,,2025-04-25 18:04:25,7.989999771118164,51.31%,1.11,4.12,7.06,1.9,,26.89,0.12,328.0,29.94,12.39,20.45,17.9,,1.98,0.72,1.43,1.01,115.18,8.87,329.0,93.0,528.0,8.94,1.61,17.99
KLBN4,,,2025-04-25 18:04:34,3.7100000381469727,88.25%,0.3,1.08,12.49,3.44,,23.7,0.03,6.616,37.52,10.42,33.68,11.55,,1.93,0.94,1.48,0.33,587.62,9.61,39.704,32.174,6.655,3.18,0.73,22.89
LAME3,,,2025-04-25 18:04:52,,0,,,,,,4.04,0.01,661.0,32.9,2.51,2.55,1.8,,1.72,0.3,1.31,0.59,172.22,,16.521,6.61,10.36,,,4.35
LAME4,,,2025-04-25 18:05:09,,0,,,,,,4.04,0.01,661.0,32.9,2.51,2.55,1.8,,1.72,0.3,1.31,0.59,172.22,,16.521,6.61,10.36,,,4.35
LEVE3,,,2025-04-25 18:05:22,30.790000915527344,63.35%,3.99,5.67,7.72,5.44,,70.23,0.15,974.0,28.5,11.87,21.39,15.34,,1.38,0.19,0.86,1.27,366.3,26.51,1.068,710.0,596.0,33.63,6.42,19.09
LIGT3,,,2025-04-25 18:05:32,5.150000095367432,0.00%,4.41,14.01,1.17,0.37,,31.5,0.06,2.07,15.65,11.05,13.92,11.73,,1.42,0.04,1.41,0.59,385.65,68.03,9.505,6.416,2.124,39.93,3.16,7.91
LLIS3,,,2025-04-25 18:05:50,,0,,,,,,,,,,,,,,,,,,,,,,,,,
LOGN3,,,2025-04-25 18:06:00,22.25,0.00%,0.5,9.03,44.58,2.47,,5.54,0.01,630.0,15.89,1.92,22.53,2.96,,1.12,0.33,1.04,0.73,293.54,35.53,1.689,1.391,104.0,26.05,3.28,12.57
LPSB3,,,2025-04-25 18:06:10,1.399999976158142,30.01%,0.13,1.54,10.71,0.88,,15.45,0.08,64.0,83.67,17.95,33.6,24.13,,1.55,0.67,1.55,0.47,83.26,2.77,,,42.0,1.3,0.31,23.5
LREN3,,,2025-04-25 18:06:24,13.84000015258789,53.14%,1.13,10.17,12.09,1.34,,11.11,0.06,2.503,60.56,8.29,17.34,9.15,,1.61,0.25,1.36,0.71,89.03,19.22,945.0,1.826,4.669,13.62,1.19,8.72
LUPA3,,,2025-04-25 18:06:35,1.2899999618530273,0.00%,0.75,3.28,1.71,0.39,,22.96,0.06,32.0,21.42,25.8,26.0,34.85,,1.39,0.03,1.15,0.24,267.68,12.07,179.0,176.0,44.0,2.92,0.63,21.54
MDIA3,,,2025-04-25 18:06:46,24.829999923706055,12.60%,1.91,23.59,13.25,1.07,,8.08,0.05,1.198,34.42,6.68,12.4,8.52,,2.2,0.79,1.58,0.76,59.65,37.67,2.389,219.0,3.266,28.5,2.45,8.58
MGEL4,,,2025-04-25 18:06:57,6.199999809265137,0.00%,7.19,0.1,0.86,64.63,,,0.06,84.0,11.97,4.39,8.93,6.85,,1.64,0.06,1.0,1.28,,127.88,633.0,577.0,126.0,163.93,10.94,6.67
MGLU3,,,2025-04-25 18:07:07,10.449999809265137,0.00%,0.61,15.32,17.41,0.69,,3.96,0.01,2.895,30.57,1.18,7.61,0.23,,1.17,0.11,0.71,1.02,229.63,50.49,4.582,2.417,2.84,51.47,2.11,4.11
MILS3,,,2025-04-25 18:07:17,9.930000305175781,52.46%,1.22,6.17,8.24,1.62,,19.69,0.07,741.0,62.06,18.1,47.07,24.51,,2.23,0.83,2.06,0.41,167.21,16.52,1.895,1.102,804.0,6.73,2.17,32.25
MMXM3,,,2025-04-25 18:07:37,,0,6.46,129.88,2.17,0.11,,4.97,0.33,1.0,,,,,,0.01,0.0,0.01,0.0,115.16,19.73,,,881.0,0.0,0.08,
ENEV3,,,2025-04-25 18:07:48,13.270000457763672,0.00%,0.02,9.78,612.72,1.36,,2.72,0.01,3.901,34.72,4.83,34.26,11.85,,1.47,0.55,1.33,0.22,161.05,27.31,17.386,13.52,2.734,5.89,1.14,19.42
MRFG3,,,2025-04-25 18:08:00,22.850000381469727,149.67%,3.26,3.29,6.47,6.4,,19.46,0.03,13.134,13.23,2.61,8.82,0.27,,1.28,0.11,1.01,1.08,589.68,160.28,66.019,43.224,11.968,173.51,6.92,3.99
MRVE3,,,2025-04-25 18:08:12,6.110000133514404,0.00%,0.89,11.43,6.93,0.54,,6.45,0.02,606.0,26.37,5.35,6.73,3.7,,1.68,0.05,1.08,0.31,293.96,52.29,9.78,9.366,5.553,16.01,0.77,4.81
MTIG4,,,2025-04-25 18:08:28,,0,,,,,,725.28,0.75,30.0,16.12,113.09,58.94,112.95,,0.27,0.02,0.2,0.66,,,,,56.0,,,64.07
